"","ID","dialect","diaClass_hanna","place","GID","generation","informant","type","progess_lvl","PAM","PAM_add","CTR","CTR_add","PAM_corr","div"
"1",1,"Nordniederdeutsch","nördliches Niederdeutsch","Alt Duvenstedt",108151,"alt","RDALT","WSS",3,1.15,"?",0.8,NA,0.524069228958978,0.275930771041022
"32",13,"Mecklenburgisch-Vorpommersch","nördliches Niederdeutsch","Bergen",118712,"alt","RUEGALT2","WSS",3,1.62,"LV",1.1,NA,0.872755203127603,0.227244796872397
"59",22,"Westfälisch","südliches Niederdeutsch","Borken",102881,"alt","BORALT1","WSS",3,1.25,"?",0.79,NA,0.583771517485181,0.206228482514819
"70",33,"Westfälisch","südliches Niederdeutsch","Drolshagen",101533,"alt","OEALT2","WSS",3,1.18,"?",0.84,NA,0.551080312506011,0.288919687493989
"123",55,"Rheinfränkisch","westliches Mitteldeutsch","Reinheim",99678,"jung","DAJUNG1","WSS",3,0.74,"?",0.8,NA,0.58001826870195,0.219981731298051
"148",64,"Zentralhessisch","westliches Mitteldeutsch","Bad Nauheim",99815,"alt","FBALT2","WSS",3,1.32,"?",1.2,NA,0.949699755396962,0.250300244603038
"150",66,"Zentralhessisch","westliches Mitteldeutsch","Bad Nauheim",99815,"jung","FBJUNG1","WSS",3,1.42,"?",0.7,NA,1.0216467065634,0.321646706563398
"151",67,"Zentralhessisch","westliches Mitteldeutsch","Büdingen",99973,"alt","BÜDALT1","WSS",3,1.3,"?",1.2,NA,0.935310365163674,0.264689634836325
"156",72,"Zentralhessisch","westliches Mitteldeutsch","Gießen",96713,"jung","GIJUNG","WSS",3,1.31,"?",0.6,NA,0.942505060280318,0.342505060280318
"160",76,"Osthessisch","westliches Mitteldeutsch","Hofbieber",100236,"alt","FDALT3","WSS",3,1.05,"MA",0.98,"CK",0.704735663082437,0.275264336917563
"162",78,"Osthessisch","westliches Mitteldeutsch","Hofbieber",100236,"jung","FDJUNG1","WSS",3,0.93,"MG",0.32,"SL",0.624194444444444,0.304194444444444
"166",79,"Thüringisch","östliches Mitteldeutsch","Heilbad Heiligenstadt",142955,"mittel","EIC1","WSS",2,0.94,"?",0.46,NA,0.68828431730278,0.22828431730278
"169",80,"Thüringisch","östliches Mitteldeutsch","Sondershausen",141165,"alt","KYFALT2","WSS",3,1.93,"?",1.8,NA,1.4131795025472,0.386820497452802
"259",131,"Nordniederdeutsch","nördliches Niederdeutsch","Alt Duvenstedt",108151,"alt","RDALT","NoSo",3,0.81,"?",0.9,NA,0.344300006864495,0.555699993135505
"260",132,"Nordniederdeutsch","nördliches Niederdeutsch","Alt Duvenstedt",108151,"mittel","RD5","NoSo",3,0.95,"?",0.2,NA,0.403808650026259,0.203808650026259
"273",138,"Nordniederdeutsch","nördliches Niederdeutsch","Oldenburg",107826,"jung","OLJUNG","NoSo",3,1.11,"?",0.25,NA,0.471818527925419,0.221818527925419
"317",153,"Westfälisch","südliches Niederdeutsch","Borken",102881,"alt","BORALT1","NoSo",3,0.77,"?",0.61,NA,0.348964644591203,0.261035355408797
"324",160,"Westfälisch","südliches Niederdeutsch","Gütersloh",101621,"jung","GTJUNG2","NoSo",3,0.95,"?",0.18,NA,0.430540795274861,0.250540795274861
"327",163,"Westfälisch","südliches Niederdeutsch","Horn-Bad Meinberg",102973,"jung","LIPJUNG2","NoSo",3,0.82,"?",0.11,NA,0.371624686447775,0.261624686447775
"328",164,"Westfälisch","südliches Niederdeutsch","Drolshagen",101533,"alt","OEALT2","NoSo",3,0.98,"?",0.68,NA,0.444136820388804,0.235863179611196
"375",189,"Rheinfränkisch","westliches Mitteldeutsch","Kaiserslautern",100327,"jung","KLJUNG1","NoSo",3,0.9,"MA",0.49,"CK",0.714762085348759,0.224762085348759
"378",192,"Rheinfränkisch","westliches Mitteldeutsch","Erbach",98214,"jung","ERBJUNG1","NoSo",3,1.21,"PL",0.7,NA,0.960957914746665,0.260957914746665
"409",208,"Zentralhessisch","westliches Mitteldeutsch","Büdingen",99973,"alt","BÜDALT1","NoSo",3,1.49,"?",1.3,NA,1.03355724140589,0.266442758594114
"414",213,"Zentralhessisch","westliches Mitteldeutsch","Gießen",96713,"jung","GIJUNG","NoSo",3,1.45,"MB",0.7,NA,1.0058107382809,0.305810738280896
"418",217,"Osthessisch","westliches Mitteldeutsch","Hofbieber",100236,"alt","FDALT3","NoSo",3,1.06,"MA",0.92,"CK",0.66,0.26
"420",219,"Osthessisch","westliches Mitteldeutsch","Hofbieber",100236,"jung","FDJUNG1","NoSo",3,1,"MG",0.25,"SL",0.622641509433962,0.372641509433962
"437",224,"Obersächsisch","östliches Mitteldeutsch","Dresden",137577,"mittel","DD4","NoSo",3,1.28,"?",0.8,NA,1.04724609505778,0.24724609505778
"438",225,"Obersächsisch","östliches Mitteldeutsch","Dresden",137577,"jung","DDJUNG2","NoSo",3,0.7,"?",0.8,NA,0.572712708234724,0.227287291765276
"447",230,"Ostfränkisch","Ostoberdeutsch","Ansbach",92718,"jung","ANJUNG","NoSo",3,1.48,"?",1.21,"CK",0.991343881669329,0.218656118330671
"462",238,"Nordbairisch-Mittelbairisch","Ostoberdeutsch","Ingolstadt",89888,"jung","INJUNG1","NoSo",3,1.45,"?",1,NA,1.23005691311612,0.230056913116124
"487",249,"Schwäbisch","Westoberdeutsch","Ulm",127525,"alt","ULALT1","NoSo",3,1.67,"?",1.1,NA,1.38203931316743,0.282039313167426
"497",259,"Schwäbisch","Westoberdeutsch","Blindheim",78986,"mittel","DLG1","NoSo",3,1.46,"?",1.5,NA,1.20824993845775,0.29175006154225
"507",264,"Mittelalemannisch","Westoberdeutsch","Bräunlingen",127324,"jung","VSJUNG1","NoSo",3,1.19,"?",0.54,"CK",0.805316942044795,0.265316942044795
"531",276,"Nordniederdeutsch","nördliches Niederdeutsch","Oldenburg",107826,"jung","OLJUNG","Inter",3,1.94,NA,0.51,NA,0.743670910130197,0.233670910130197
"548",281,"Mecklenburgisch-Vorpommersch","nördliches Niederdeutsch","Bergen",118712,"alt","RUEGALT2","Inter",3,2.13,"LV",1.4,NA,1.12332714530514,0.276672854694856
"564",288,"Brandenburgisch","nördliches Niederdeutsch","Pritzwalk",125032,"jung","PRJUNG2","Inter",3,1.79,"?",0.71,"SL",0.940327916571689,0.230327916571689
"575",290,"Westfälisch","südliches Niederdeutsch","Borken",102881,"alt","BORALT1","Inter",3,1.45,"?",0.8,NA,0.568849888318975,0.231150111681025
