ort;gid;GENERATION;Informant;PAM-Wert_WSS;Kontrollwert_WSS;PAM-Wert_NOSO;Kontrollwert_NOSO;PAM-Wert_INT;Kontrollwert_INT;PAM-Wert_FG;Kontrollwert_FG;PAM-Wert_WSD;Kontrollwert_WSD;;;;;;;;;;;;
Bad Segeberg;116678;alt;SEALT2;1,09;0,69;0,84;0,43;1,61;0,70;2,72;1,91;2,67;2,19;;;;;;;;;;;;
Oldenburg;107826;alt;OLALT3;1,33;0,71;1,26;0,50;1,57;0,69;2,93;2,28;2,84;2,58;;;;;;;;;;;;
Oldenburg;107826;mittel;OL5;1,27;0,47;0,73;0,17;1,45;0,51;1,58;0,61;NA;NA;;;;;;;;;;;;
Oldenburg;107826;jung;OLJUNG;1,00;0,32;1,11;0,25;1,94;0,51;1,83;0,49;NA;NA;;;;;;;;;;;;
Schwerin;119248;mittel;SN2;0,83;0,40;0,78;0,34;1,34;0,54;1,38;0,65;2,73;2,21;;;;;;;;;;;;
Schwerin;119248;alt;SNALT2;1,02;0,50;0,79;0,43;1,36;0,70;2,36;1,74;2,75;2,20;;;;;;;;;;;;
Schwerin;119248;jung;SNJUNG1;0,66;0,31;1,28;0,51;1,65;0,72;1,70;0,73;1,04;NA;;;;;;;;;;;;
Bergen;118712;mittel;RUEG1;1,41;0,80;1,24;0,70;1,85;1,10;1,81;1,20;2,01;1,80;;;;;;;;;;;;
Bergen;118712;alt;RUEGALT2;1,62;1,10;1,39;0,80;2,13;1,40;3,06;2,70;3,09;2,80;;;;;;;;;;;;
Bergen;118712;jung;RUEGJUNG1;1,47;0,80;1,37;0,70;1,97;1,10;1,86;1,10;NA;NA;;;;;;;;;;;;
Potsdam;125116;mittel;P9;0,98;0,47;1,18;0,53;1,89;1,04;1,92;1,20;1,26;0,69;;;;;;;;;;;;
Potsdam;125116;alt;PALT1;1,32;0,71;1,48;0,76;1,69;0,94;1,70;0,91;1,35;0,77;;;;;;;;;;;;
Potsdam;125116;jung;PJUNG1;1,24;0,48;0,84;0,54;1,61;0,91;1,51;0,72;1,23;0,64;;;;;;;;;;;;
Pritzwalk;125032;mittel;PR1;1,62;0,81;1,51;0,96;1,84;0,97;2,01;0,93;2,33;1,78;;;;;;;;;;;;
Pritzwalk;125032;alt;PRALT2;1,79;0,77;1,47;0,80;2,57;1,43;1,83;1,00;2,43;1,84;;;;;;;;;;;;
Pritzwalk;125032;jung;PRJUNG2;1,08;0,44;1,24;0,52;1,79;0,71;2,25;1,24;1,78;1,00;;;;;;;;;;;;
Borken;102881;mittel;BOR2;1,03;0,42;0,82;0,19;1,71;0,57;1,23;0,53;2,59;2,30;;;;;;;;;;;;
Borken;102881;alt;BORALT1;1,25;0,79;0,77;0,61;1,45;0,80;2,42;2,01;2,77;2,54;;;;;;;;;;;;
Borken;102881;jung;BORJUNG1;1,33;0,55;1,03;0,36;1,86;0,60;1,53;0,61;1,43;0,87;;;;;;;;;;;;
Hagen;103064;alt;HAALT1;1,05;0,69;0,68;0,47;1,19;0,54;1,29;0,72;2,80;2,45;;;;;;;;;;;;
Hagen;103064;mittel;HA4;0,99;0,58;0,67;0,48;1,43;0,62;1,59;0,93;1,06;0,75;;;;;;;;;;;;
Hagen;103064;jung;HAJUNG1;0,84;0,31;0,94;0,31;2,80;0,31;1,37;0,30;1,10;0,52;;;;;;;;;;;;
Gütersloh;101621;alt;GTALT2;0,79;0,36;0,88;0,43;1,75;0,61;2,20;1,84;2,83;2,68;;;;;;;;;;;;
Gütersloh;101621;mittel;GT3;1,03;0,40;0,95; ;1,40;0,53;1,44;0,55;0,73;0,46;;;;;;;;;;;;
Gütersloh;101621;jung;GTJUNG2;0,85;0,21;0,95;0,18;1,22;0,27;1,31;0,27;1,00;0,34;;;;;;;;;;;;
Horn-Bad Meinberg;102973;alt;LIPALT1;1,10;0,55;0,93;0,57;1,80;1,01;1,45;0,65;2,96;2,60;;;;;;;;;;;;
Horn-Bad Meinberg;102973;mittel;LIP5;0,78;0,45;0,97;0,40;1,18;0,55;1,47;0,62;NA;0,39;;;;;;;;;;;;
Horn-Bad Meinberg;102973;jung;LIPJUNG2;0,71;0,20;0,82;0,11;1,13;0,23;0,82;0,20;0,53;1,07;;;;;;;;;;;;
Drolshagen;101533;alt;OEALT2;1,18;0,84;0,98;0,68;1,33;0,95;2,30;1,87;3,10;2,80;;;;;;;;;;;;
Drolshagen;101533;mittel;OE7;0,89;0,36;0,73;0,29;1,32;0,55;1,41;0,73;2,39;2,20;;;;;;;;;;;;
Drolshagen;101533;jung;OEJUNG;1,07;0,40;0,99;0,48;1,41;0,52;1,56;0,75;1,05;0,42;;;;;;;;;;;;
Halberstadt;125017;alt;HBSALT2;0,87;0,50;0,92;0,56;1,36;0,86;1,62;0,90;1,29;0,81;;;;;;;;;;;;
Halberstadt;125017;mittel;HBS9;1,07;0,53;1,13;0,50;1,74;0,92;1,64;0,91;0,98;0,53;;;;;;;;;;;;
Halberstadt;125017;jung;HBSJUNG2;0,80;0,40;1,05;0,46;1,19;0,50;0,95;0,40;1,37;1,10;;;;;;;;;;;;
Northeim;107905;mittel;NOM3;1,04;0,44;0,98;0,48;2,05;0,86;2,33;0,98;1,71;1,11;;;;;;;;;;;;
Northeim;107905;alt;NOMALT1;1,70;0,82;1,23;0,64;2,06;0,97;2,23;1,40;2,66;1,92;;;;;;;;;;;;
Northeim;107905;jung;NOMJUNG;1,10;0,56;0,90;0,38;1,59;0,68;1,79;0,85;1,83;1,27;;;;;;;;;;;;
Bergisch-Gladbach;135950;alt;GLALT1;1,19;1,00;0,79;0,60;1,66;1,30;2,20;2,00;NA;2,20;;;;;;;;;;;;
Bergisch-Gladbach;135950;mittel;GL3;0,70;0,60;0,73;0,60;1,78;1,30;1,62;1,30;1,75;1,30;;;;;;;;;;;;
