"","ID","dialect","diaClass_hanna","place","GID","generation","informant","type","progess_lvl","PAM","PAM_add","CTR","CTR_add"
"1",1,"Nordniederdeutsch","nördliches Niederdeutsch","Alt Duvenstedt","108151","alt","RDALT","WSS","3",1.15,"?",0.8,NA
"2",2,"Nordniederdeutsch","nördliches Niederdeutsch","Alt Duvenstedt","108151","mittel","RD5","WSS","3",1.09,"?",0.4,NA
"4",3,"Nordniederdeutsch","nördliches Niederdeutsch","Bad Segeberg","116678","alt","SEALT2","WSS","3",1.09,"PL",0.69,"CK"
"5",4,"Nordniederdeutsch","nördliches Niederdeutsch","Bad Segeberg","116678","mittel","SE2","WSS","3",1.34,"?",0.48,NA
"6",5,"Nordniederdeutsch","nördliches Niederdeutsch","Bad Segeberg","116678","jung","SEJUNG1","WSS","3",1.06,"PL",0.39,"CK"
"13",6,"Nordniederdeutsch","nördliches Niederdeutsch","Oldenburg","107826","alt","OLALT3","WSS","3",1.33,"?",0.71,NA
"14",7,"Nordniederdeutsch","nördliches Niederdeutsch","Oldenburg","107826","mittel","OL5","WSS","3",1.27,"?",0.47,NA
"15",8,"Nordniederdeutsch","nördliches Niederdeutsch","Oldenburg","107826","jung","OLJUNG","WSS","3",1,"?",0.32,NA
"25",9,"Mecklenburgisch-Vorpommersch","nördliches Niederdeutsch","Schwerin","119248","mittel","SN2","WSS","3",0.83,"CK",0.4,"CK"
"26",10,"Mecklenburgisch-Vorpommersch","nördliches Niederdeutsch","Schwerin","119248","alt","SNALT2","WSS","3",1.02,"PL",0.5,"CK"
"27",11,"Mecklenburgisch-Vorpommersch","nördliches Niederdeutsch","Schwerin","119248","jung","SNJUNG1","WSS","3",0.66,"MA",0.31,"CK"
"31",12,"Mecklenburgisch-Vorpommersch","nördliches Niederdeutsch","Bergen","118712","mittel","RUEG1","WSS","3",1.41,"LV",0.8,NA
"32",13,"Mecklenburgisch-Vorpommersch","nördliches Niederdeutsch","Bergen","118712","alt","RUEGALT2","WSS","3",1.62,"LV",1.1,NA
"33",14,"Mecklenburgisch-Vorpommersch","nördliches Niederdeutsch","Bergen","118712","jung","RUEGJUNG1","WSS","3",1.47,"LV",0.8,NA
"43",15,"Brandenburgisch","nördliches Niederdeutsch","Potsdam","125116","mittel","P9","WSS","3",0.98,"?",0.47,"SL"
"44",16,"Brandenburgisch","nördliches Niederdeutsch","Potsdam","125116","alt","PALT1","WSS","3",1.32,"?",0.71,"SL"
"45",17,"Brandenburgisch","nördliches Niederdeutsch","Potsdam","125116","jung","PJUNG1","WSS","3",1.24,"?",0.48,"SL"
"46",18,"Brandenburgisch","nördliches Niederdeutsch","Pritzwalk","125032","mittel","PR1","WSS","3",1.62,"?",0.81,"SL"
"47",19,"Brandenburgisch","nördliches Niederdeutsch","Pritzwalk","125032","alt","PRALT2","WSS","3",1.79,"?",0.77,"SL"
"48",20,"Brandenburgisch","nördliches Niederdeutsch","Pritzwalk","125032","jung","PRJUNG2","WSS","3",1.08,"?",0.44,"SL"
"58",21,"Westfälisch","südliches Niederdeutsch","Borken","102881","mittel","BOR2","WSS","3",1.03,"?",0.42,NA
"59",22,"Westfälisch","südliches Niederdeutsch","Borken","102881","alt","BORALT1","WSS","3",1.25,"?",0.79,NA
"60",23,"Westfälisch","südliches Niederdeutsch","Borken","102881","jung","BORJUNG1","WSS","3",1.33,"?",0.55,NA
"61",24,"Westfälisch","südliches Niederdeutsch","Hagen","103064","alt","HAALT1","WSS","3",1.05,"?",0.69,NA
"62",25,"Westfälisch","südliches Niederdeutsch","Hagen","103064","mittel","HA4","WSS","3",0.99,"?",0.58,NA
"63",26,"Westfälisch","südliches Niederdeutsch","Hagen","103064","jung","HAJUNG1","WSS","3",0.84,"?",0.31,NA
"64",27,"Westfälisch","südliches Niederdeutsch","Gütersloh","101621","alt","GTALT2","WSS","3",0.79,"?",0.36,NA
"65",28,"Westfälisch","südliches Niederdeutsch","Gütersloh","101621","mittel","GT3","WSS","3",1.03,"?",0.4,NA
"66",29,"Westfälisch","südliches Niederdeutsch","Gütersloh","101621","jung","GTJUNG2","WSS","3",0.85,"?",0.21,NA
"67",30,"Westfälisch","südliches Niederdeutsch","Horn-Bad Meinberg","102973","alt","LIPALT1","WSS","3",1.1,"MB",0.55,NA
"68",31,"Westfälisch","südliches Niederdeutsch","Horn-Bad Meinberg","102973","mittel","LIP5","WSS","3",0.78,"?",0.45,NA
"69",32,"Westfälisch","südliches Niederdeutsch","Horn-Bad Meinberg","102973","jung","LIPJUNG2","WSS","3",0.71,"?",0.2,NA
"70",33,"Westfälisch","südliches Niederdeutsch","Drolshagen","101533","alt","OEALT2","WSS","3",1.18,"?",0.84,NA
"71",34,"Westfälisch","südliches Niederdeutsch","Drolshagen","101533","mittel","OE7","WSS","3",0.89,"?",0.36,NA
"72",35,"Westfälisch","südliches Niederdeutsch","Drolshagen","101533","jung","OEJUNG","WSS","3",1.07,"?",0.4,NA
"73",36,"Ostfälisch","südliches Niederdeutsch","Halberstadt","125017","alt","HBSALT2","WSS","3",0.87,"MA",0.5,"MG"
"74",37,"Ostfälisch","südliches Niederdeutsch","Halberstadt","125017","mittel","HBS9","WSS","3",1.07,"MA",0.53,"MG"
"75",38,"Ostfälisch","südliches Niederdeutsch","Halberstadt","125017","jung","HBSJUNG2","WSS","3",0.8,"MA",0.4,"MG"
"79",39,"Ostfälisch","südliches Niederdeutsch","Northeim","107905","mittel","NOM3","WSS","3",1.04,"?",0.44,"CK"
"80",40,"Ostfälisch","südliches Niederdeutsch","Northeim","107905","alt","NOMALT1","WSS","3",1.7,"MA",0.82,"CK"
"81",41,"Ostfälisch","südliches Niederdeutsch","Northeim","107905","jung","NOMJUNG","WSS","3",1.1,"MA",0.56,"CK"
"85",42,"Ripuarisch","Westdeutsch","Bergisch-Gladbach","135950","alt","GLALT1","WSS","3",1.19,"?",1,NA
"86",43,"Ripuarisch","Westdeutsch","Bergisch-Gladbach","135950","mittel","GL3","WSS","3",0.7,"?",0.6,NA
"91",44,"Ripuarisch","Westdeutsch","Troisdorf","134279","alt","SUALT","WSS","3",1.11,"?",0.8,NA
"92",45,"Ripuarisch","Westdeutsch","Troisdorf","134279","mittel","SU1","WSS","3",0.89,"?",0.6,NA
"94",46,"Ripuarisch-Niederfränkisch","Westdeutsch","Krefeld","135092","alt","KRALT3","WSS","3",1.13,"?",0.8,NA
"95",47,"Ripuarisch-Niederfränkisch","Westdeutsch","Krefeld","135092","mittel","KR5","WSS","3",0.99,"?",0.7,NA
"97",48,"Ripuarisch-Niederfränkisch","Westdeutsch","Mönchengladbach","136187","alt","MGALT","WSS","3",1.28,"?",0.9,NA
